term	first_stage	exact_hit	lower_hit	is_illegible	dict_candidates	matcher_candidates	uuid_overlap	max_frequency
""""	unmatched	False	False	False	0	0	0	0
"""250 W. 6th St."""	unmatched	False	False	False	0	0	0	0
"""this island""]"	unmatched	False	False	False	0	0	0	0
0. Suody Ridge township	unmatched	False	False	False	0	0	0	0
005 Miller avenue	unmatched	False	False	False	0	0	0	0
011 Terrill street	unmatched	False	False	False	0	0	0	0
03 North 12th street	unmatched	False	False	False	0	0	0	0
03 South Main Street	unmatched	False	False	False	0	0	0	0
058 North Liberty Street	unmatched	False	False	False	0	0	0	0
1	unmatched	False	False	True	0	0	0	0
1 Dayton Place	unmatched	False	False	False	0	0	0	0
1 West Main St	unmatched	False	False	False	0	0	0	0
1 fprrig St.	unmatched	False	False	False	0	0	0	0
10 F street northeast	unmatched	False	False	False	0	0	0	0
10 and 12 Montgomery Street	unmatched	False	False	False	0	0	0	0
100 Pennsylvania Avenue Southeast	unmatched	False	False	False	0	0	0	0
1004 Cleveland Ave.	unmatched	False	False	False	0	0	0	0
1005 Assiniboine Ave.	unmatched	False	False	False	0	0	0	0
1006 E. Jefferson Rd	unmatched	False	False	False	0	0	0	0
1006 So. 27th	unmatched	False	False	False	0	0	0	0
1007 Coronado West	unmatched	False	False	False	0	0	0	0
1007 Gore Blvd.	unmatched	False	False	False	0	0	0	0
10094 Superior Ave.	unmatched	False	False	False	0	0	0	0
101 A Witten Circle	unmatched	False	False	False	0	0	0	0
101 Buchanan	unmatched	False	False	False	0	0	0	0
101 Olive Street	unmatched	False	False	False	0	0	0	0
101 Stockton street	unmatched	False	False	False	0	0	0	0
101 W. Main St.	unmatched	False	False	False	0	0	0	0
101 West Sixty first street	unmatched	False	False	False	0	0	0	0
1010 Chittock St.	unmatched	False	False	False	0	0	0	0
1010 N. 16th St.	unmatched	False	False	False	0	0	0	0
1011 St. George street	unmatched	False	False	False	0	0	0	0
1015 W. High St.	unmatched	False	False	False	0	0	0	0
1016 Sumner street	unmatched	False	False	False	0	0	0	0
1016 Union Ave. NW	unmatched	False	False	False	0	0	0	0
1017 Ottawa Ave.	unmatched	False	False	False	0	0	0	0
1018 Pennsylvania avenue	unmatched	False	False	False	0	0	0	0
102 2nd Street	unmatched	False	False	False	0	0	0	0
102 Hayes street	unmatched	False	False	False	0	0	0	0
102 Marion Blvd.	unmatched	False	False	False	0	0	0	0
1020 Revine Street	unmatched	False	False	False	0	0	0	0
1021 Peart Street	unmatched	False	False	False	0	0	0	0
1021 Pines street	unmatched	False	False	False	0	0	0	0
1023 Girard street northeast	unmatched	False	False	False	0	0	0	0
1024 Selkirk ave.	unmatched	False	False	False	0	0	0	0
1028 Montana Ave. S.W.	unmatched	False	False	False	0	0	0	0
1028 N. Monroe Drive	unmatched	False	False	False	0	0	0	0
1037 Harmony Co.	unmatched	False	False	False	0	0	0	0
104 Maple Ave.	unmatched	False	False	False	0	0	0	0
104 N	unmatched	False	False	False	0	0	0	0
104 South Whip le street	unmatched	False	False	False	0	0	0	0
104 Walnut St.	unmatched	False	False	False	0	0	0	0
104 Wedgewood Lane	unmatched	False	False	False	0	0	0	0
104 calle Matamoros	unmatched	False	False	False	0	0	0	0
1044 Sir Francis Drake boulevard	unmatched	False	False	False	0	0	0	0
1045 N.Y.	unmatched	False	False	False	0	0	0	0
1047 Orange Street	unmatched	False	False	False	0	0	0	0
105 Morgantown street	unmatched	False	False	False	0	0	0	0
105 S. Seventh St.	unmatched	False	False	False	0	0	0	0
105 Virginia avenue	unmatched	False	False	False	0	0	0	0
1052 E Ave	unmatched	False	False	False	0	0	0	0
1057 West Fourth street	unmatched	False	False	False	0	0	0	0
106 West 22nd St.	unmatched	False	False	False	0	0	0	0
106 West Morse Street	unmatched	False	False	False	0	0	0	0
1065 Whitestone Dr.	unmatched	False	False	False	0	0	0	0
1069 Lombard Ave.	unmatched	False	False	False	0	0	0	0
107 Brook st	unmatched	False	False	False	0	0	0	0
107 East Front at	unmatched	False	False	False	0	0	0	0
107 Morgantown Street	unmatched	False	False	False	0	0	0	0
107 South Side avenue	unmatched	False	False	False	0	0	0	0
10714 Center St	unmatched	False	False	False	0	0	0	0
108 Chestnut street	unmatched	False	False	False	0	0	0	0
108 Iglehart St.	unmatched	False	False	False	0	0	0	0
108 West Edger ton st.	unmatched	False	False	False	0	0	0	0
108 in West Second St.	unmatched	False	False	False	0	0	0	0
109 Dwight road	unmatched	False	False	False	0	0	0	0
109 East Washington avenue	unmatched	False	False	False	0	0	0	0
109 FE. DuBois ave.	unmatched	False	False	False	0	0	0	0
109 W. Kemp St.	unmatched	False	False	False	0	0	0	0
10L N. Peek Ave.	unmatched	False	False	False	0	0	0	0
11 Eleventh street southeast	unmatched	False	False	False	0	0	0	0
